Tarikh,Negeri,Kes Baharu,Kes Keseluruhan,Kematian Baharu,Kematian Keseluruhan,Populasi Dewasa,Peratus Populasi Dewasa,Menerima Dos Pertama,Menerima Dos Kedua,Kumpulan Keutamaan yang Berdaftar,Peratusan Vaksinasi %,Jumlah Belum Berdaftar
2020-03-18,Putrajaya,0,0,0,0,,,,,,,
2020-03-18,Labuan,1,5,0,0,,,,,,,
2020-03-19,Perlis,1,9,0,0,,,,,,,
2020-03-19,Kedah,4,40,0,0,,,,,,,
2020-03-19,Pulau Pinang,2,32,0,0,,,,,,,
2020-03-19,Perak,7,35,0,0,,,,,,,
2020-03-19,Selangor,31,223,0,0,,,,,,,
2020-03-19,Negeri Sembilan,11,56,0,0,,,,,,,
2020-03-19,Melaka,2,20,0,0,,,,,,,
2020-03-19,Johor,13,101,0,1,,,,,,,
2020-03-19,Pahang,3,32,0,0,,,,,,,
2020-03-19,Terengganu,1,11,0,0,,,,,,,
2020-03-19,Kelantan,14,44,0,0,,,,,,,
2020-03-19,Sabah,9,112,0,0,,,,,,,
2020-03-19,Sarawak,2,51,0,1,,,,,,,
2020-03-19,Kuala Lumpur,10,129,0,0,,,,,,,
2020-03-19,Putrajaya,0,0,0,0,,,,,,,
2020-03-19,Labuan,0,5,0,0,,,,,,,
2020-03-20,Perlis,0,9,0,0,,,,,,,
2020-03-20,Kedah,1,41,0,0,,,,,,,
2020-03-20,Pulau Pinang,5,37,0,0,,,,,,,
2020-03-20,Perak,10,45,0,0,,,,,,,
2020-03-20,Selangor,40,263,0,0,,,,,,,
2020-03-20,Negeri Sembilan,9,65,0,0,,,,,,,
2020-03-20,Melaka,2,22,0,0,,,,,,,
2020-03-20,Johor,13,114,0,1,,,,,,,
2020-03-20,Pahang,4,36,0,0,,,,,,,
2020-03-20,Terengganu,9,20,0,0,,,,,,,
2020-03-20,Kelantan,7,51,0,0,,,,,,,
2020-03-20,Sabah,7,119,0,0,,,,,,,
2020-03-20,Sarawak,7,58,0,1,,,,,,,
2020-03-20,Kuala Lumpur,16,145,0,0,,,,,,,
2020-03-20,Putrajaya,0,0,0,0,,,,,,,
2020-03-20,Labuan,0,5,0,0,,,,,,,
2020-03-21,Perlis,0,9,0,0,,,,,,,
2020-03-21,Kedah,6,47,0,0,,,,,,,
2020-03-21,Pulau Pinang,13,50,0,0,,,,,,,
2020-03-21,Perak,10,55,0,0,,,,,,,
2020-03-21,Selangor,29,292,0,0,,,,,,,
2020-03-21,Negeri Sembilan,5,70,0,0,,,,,,,
2020-03-21,Melaka,0,22,1,1,,,,,,,
2020-03-21,Johor,15,129,0,1,,,,,,,
2020-03-21,Pahang,1,37,0,0,,,,,,,
2020-03-21,Terengganu,7,27,0,0,,,,,,,
2020-03-21,Kelantan,10,61,0,0,,,,,,,
2020-03-21,Sabah,17,136,1,1,,,,,,,
2020-03-21,Sarawak,10,68,0,1,,,,,,,
2020-03-21,Kuala Lumpur,21,166,0,0,,,,,,,
2020-03-21,Putrajaya,0,9,0,0,,,,,,,
2020-03-21,Labuan,0,5,0,0,,,,,,,
2020-03-22,Perlis,0,9,1,1,,,,,,,
2020-03-22,Kedah,5,52,0,0,,,,,,,
2020-03-22,Pulau Pinang,8,58,1,1,,,,,,,
2020-03-22,Perak,11,66,0,0,,,,,,,
2020-03-22,Selangor,17,309,0,0,,,,,,,
